# Experimental solubility data -- Prof. Fatima Farelo (IST/DEQ)
# Farelo, Fernandes & Avelino, J. Chem. Eng. Data 50 (2005) 1470-1477. DOI 10.1021/je050111j.
# Saturated-solution molalities (mol per kg water). Full transcription of the paper's data tables.
# type: binary | saturation | invariant.  (NaCl/KCl pure-water binaries are from the Table 12 smoothing eqs.)
#
system,T_K,salt1,m1_molkg,salt2,m2_molkg,solid,type
NaCl+LiCl,318.0,NaCl,4.452,LiCl,1.97,NaCl,saturation
NaCl+LiCl,318.7,NaCl,5.324,LiCl,1.09,NaCl,saturation
NaCl+LiCl,318.7,NaCl,1.599,LiCl,5.8,NaCl,saturation
NaCl+LiCl,319.2,NaCl,0.328,LiCl,10.61,NaCl,saturation
NaCl+LiCl,319.6,NaCl,0.154,LiCl,12.7,NaCl,saturation
NaCl+LiCl,319.7,NaCl,2.807,LiCl,3.91,NaCl,saturation
NaCl+LiCl,320.5,NaCl,0.231,LiCl,11.75,NaCl,saturation
NaCl+LiCl,320.7,NaCl,0.086,LiCl,17.5,NaCl,saturation
NaCl+LiCl,322.3,NaCl,0.112,LiCl,14.2,NaCl,saturation
NaCl+LiCl,322.7,NaCl,4.501,LiCl,1.97,NaCl,saturation
NaCl+LiCl,323.1,NaCl,0.081,LiCl,22.0,invariant,invariant
NaCl+LiCl,323.4,NaCl,0.319,LiCl,10.61,NaCl,saturation
NaCl+LiCl,323.6,NaCl,5.354,LiCl,1.09,NaCl,saturation
NaCl+LiCl,323.6,NaCl,1.65,LiCl,5.8,NaCl,saturation
NaCl+LiCl,323.6,NaCl,0.501,LiCl,9.67,NaCl,saturation
NaCl+LiCl,326.1,NaCl,2.862,LiCl,3.91,NaCl,saturation
NaCl+LiCl,326.9,NaCl,0.11,LiCl,17.5,NaCl,saturation
NaCl+LiCl,327.2,NaCl,4.492,LiCl,1.97,NaCl,saturation
NaCl+LiCl,327.6,NaCl,0.256,LiCl,11.75,NaCl,saturation
NaCl+LiCl,327.9,NaCl,0.335,LiCl,10.61,NaCl,saturation
NaCl+LiCl,328.0,NaCl,1.694,LiCl,5.8,NaCl,saturation
NaCl+LiCl,328.8,NaCl,4.546,LiCl,1.97,NaCl,saturation
NaCl+LiCl,331.2,NaCl,0.145,LiCl,14.2,NaCl,saturation
NaCl+LiCl,332.4,NaCl,5.416,LiCl,1.09,NaCl,saturation
NaCl+LiCl,332.5,NaCl,0.116,LiCl,19.1,NaCl,saturation
NaCl+LiCl,332.6,NaCl,1.746,LiCl,5.8,NaCl,saturation
NaCl+LiCl,332.8,NaCl,0.532,LiCl,9.67,NaCl,saturation
NaCl+LiCl,332.8,NaCl,0.283,LiCl,11.75,NaCl,saturation
NaCl+LiCl,333.0,NaCl,0.11,LiCl,23.7,invariant,invariant
NaCl+LiCl,333.2,NaCl,0.386,LiCl,10.61,NaCl,saturation
NaCl+LiCl,333.3,NaCl,4.596,LiCl,1.97,NaCl,saturation
NaCl+LiCl,333.6,NaCl,0.135,LiCl,17.5,NaCl,saturation
NaCl+LiCl,334.4,NaCl,2.952,LiCl,3.91,NaCl,saturation
NaCl+LiCl,337.1,NaCl,0.168,LiCl,14.2,NaCl,saturation
NaCl+LiCl,341.0,NaCl,3.04,LiCl,3.91,NaCl,saturation
binary,296.7,LiCl,19.7,,0.0,LiCl.H2O,binary
binary,298.3,AlCl3,3.395,,0.0,AlCl3.6H2O,binary
binary,298.4,LiCl,19.9,,0.0,LiCl.H2O,binary
binary,303.1,LiCl,20.0,,0.0,LiCl.H2O,binary
binary,303.2,AlCl3,3.4,,0.0,AlCl3.6H2O,binary
binary,308.0,LiCl,20.7,,0.0,LiCl.H2O,binary
binary,308.1,AlCl3,3.406,,0.0,AlCl3.6H2O,binary
binary,313.1,AlCl3,3.415,,0.0,AlCl3.6H2O,binary
binary,313.3,LiCl,21.1,,0.0,LiCl.H2O,binary
binary,317.0,AlCl3,3.417,,0.0,AlCl3.6H2O,binary
binary,318.0,LiCl,21.4,,0.0,LiCl.H2O,binary
binary,318.4,AlCl3,3.425,,0.0,AlCl3.6H2O,binary
binary,323.2,AlCl3,3.427,,0.0,AlCl3.6H2O,binary
binary,323.2,LiCl,22.1,,0.0,LiCl.H2O,binary
binary,325.7,AlCl3,3.431,,0.0,AlCl3.6H2O,binary
binary,328.2,LiCl,22.5,,0.0,LiCl.H2O,binary
binary,330.6,LiCl,23.1,,0.0,LiCl.H2O,binary
binary,333.2,AlCl3,3.44,,0.0,AlCl3.6H2O,binary
binary,334.5,LiCl,23.5,,0.0,LiCl.H2O,binary
binary,338.1,AlCl3,3.45,,0.0,AlCl3.6H2O,binary
